Project No,Project Name,Status,Progress,Assigned To,Related To,Start Date,Target End Date,Total Project Samples,Sample # Range,Purchase Order No,General Description,No of Samples Stored,No of Samples Disposed Of,Net Weight of Material,Material Retrieved By,Date Destroyed,Location Destroyed,Method Used,Description Information,Person Responsible,Witnesses Present,Max Project Time (Days),Actual End Date,Work Type,GoogleDocs Link,Created Time,Modified Time,Number of Liquid Samples,Liquid Analysis Description,Est Hrs Analyst Liquid ,Est Hrs Instrument Liquid,Number of Solid Samples,Solid Analysis Description,Est Hrs Instrument Solid ,Est Hrs Analyst Solid ,Number of Gas Samples,Gas Analysis Description,Est Hrs Analyst Gas,Est Hrs Instrument Gas
P8808,6609 Royal Ave Horseshoe,9. Billed,100%,admin,Contacts::::Don Blair,2012-05-04,2012-05-07,4,AR-23161-01 to AR-23164-01,,,,,,,,,,,,,,2012-05-07,--none--,,2012-05-04 17:59:09,2012-05-07 04:25:23,,,,,,,,,,,,
P8807,2460 156 St Sry,9. Billed,100%,admin,Contacts::::Don Blair,2012-05-03,2012-05-04,1,,,,,,,,,,,,,,,2012-05-07,--none--,,2012-05-03 22:00:40,2012-05-07 04:24:57,,,,,,,,,,,,
P8806,3561 Pt Grey Rd Van,9. Billed,100%,admin,Contacts::::Don Blair,2012-05-03,2012-05-04,1,AR-23157-01,,,,,,,,,,,,,,2012-05-07,--none--,,2012-05-03 21:54:43,2012-05-07 04:24:32,,,,,,,,,,,,
P8805,"Westchem Technologies_May, 2 2012",9. Billed,100%,BMLC,Accounts::::Westchem Technologies,2012-05-02,2012-05-09,6,AR-23177-01 - AR-23182-01,,,,,,,,,,,,,,2012-05-10,Analysis,,2012-05-03 20:50:17,2012-05-16 04:28:28,,,,,,,,,,,,
P8804,Sam Singh,9. Billed,100%,BMLC,Contacts::::Sam Singh,2012-05-02,2012-05-05,2,AR-23159-01 - AR-23160-01,,,,,,,,,,,,,,2012-05-04,--none--,,2012-05-03 20:48:09,2012-05-10 18:39:57,,,,,,,,,,,,
P8803,7151 Maureen Crs Bby,9. Billed,100%,admin,Contacts::::Don Blair,2012-05-02,2012-05-03,3,AR-23152-01 to AR-23154-01,,,,,,,,,,,,,,2012-05-03,--none--,,2012-05-02 17:44:58,2012-05-07 04:24:11,,,,,,,,,,,,
P8802,1780 Bowser Ave N Van,9. Billed,100%,admin,Contacts::::Don Blair,2012-05-02,2012-05-03,1,AR-23151-01,,,,,,,,,,,,,,2012-05-03,--none--,,2012-05-02 17:39:01,2012-05-07 04:23:49,,,,,,,,,,,,
P8801,849 W 26 Ave Van,9. Billed,100%,admin,Contacts::::Don Blair,2012-05-01,2012-05-02,2,,,,,,,,,,,,,,,2012-05-01,--none--,,2012-05-01 22:11:43,2012-05-07 04:23:17,,,,,,,,,,,,
P8800,12-77366-37,9. Billed,100%,admin,Contacts::::Don Blair,2012-05-01,2012-05-02,1,,,,,,,,,,,,,,,2012-05-01,--none--,,2012-05-01 21:21:40,2012-05-07 04:22:55,,,,,,,,,,,,
P8799,2424 Scotia St Van,9. Billed,100%,admin,Contacts::::Don Blair,2012-05-01,2012-05-02,2,AR-23146-01 to AR-23147-01,,,,,,,,,,,,,,2012-05-01,--none--,,2012-05-01 19:04:13,2012-05-07 04:22:28,,,,,,,,,,,,
